group,common_name,vietnamese_name,scientific_name,field_notes,habitat_zone,notable,spot_chance
Bird,Yellow-billed blue magpie,,Urocissa flavirostris,"Long streaming blue tail, black hood, yellow bill. Loud and conspicuous in pairs/groups.",Forest edge & montane forest,"Himalayan sp., local highlight",Medium
Bird,Red-billed leiothrix,Kim oanh,Leiothrix lutea,"Small, orange-red bill, yellow-orange throat, olive back. Noisy flocks in scrub.",Scrub & forest edge,,Medium
Bird,Silver-eared mesia,,Leiothrix argentauris,Bright orange-yellow with silver ear patch; travels in busy flocks.,Montane forest understory,,Medium
Bird,Black bulbul,,Hypsipetes leucocephalus,"All-dark bulbul, red bill and legs; loud, gregarious, always overhead.","Forest & edge, all bands",,High
Bird,Blue whistling-thrush,,Myophonus caeruleus,"Dark blue, spangled; loud human-like whistle. Bounds along streams and wet rock.",Streams & river crossings,,High
Bird,White-capped redstart,,Phoenicurus leucocephalus,Black + chestnut with white cap; flicks tail on boulders in rushing water.,Mountain streams,,Medium
Bird,Plumbeous water redstart,,Phoenicurus fuliginosus,Slate-blue male / grey female with rusty tail; constant on stream rocks.,Mountain streams,,Medium
Bird,Crested finchbill,,Spizixos canifrons,"Bulbul with short pale bill and pointed crest; olive-green, grey head.",Scrub & clearings,Himalayan sp.,Medium
Bird,White-collared yuhina,,Yuhina diademata,"Crested, brown with white nape collar; roving flocks.",Montane forest,Himalayan sp.,Medium
Bird,Slender-billed scimitar-babbler,,Pomatorhinus superciliaris,Long down-curved bill; skulks low. More often heard than seen.,Dense montane undergrowth,Himalayan sp.,Low
Bird,Sapphire flycatcher,,Ficedula sapphira,Tiny; male deep blue with orange throat. Perches quietly mid-storey.,Montane forest,,Low
Bird,Gould's shortwing,,Heteroxenicus stellatus,"Small, dark, star-spotted; hops on the forest floor at high elevation.",High montane floor,Himalayan sp.,Low
Bird,Collared owlet,Cu meo,Glaucidium brodiei,Tiny owl; false 'eye' spots on nape. Calls day and night — listen after dark.,"Forest, incl. overnight",,Low
Bird,Long-tailed broadbill,,Psarisomus dalhousiae,"Green with black-and-yellow head, blue crown; noisy foothill flocks.",Foothill/lower forest,,Low
Bird,Silver pheasant,Ga lo trang,Lophura nycthemera,"Male white-backed with black underparts, red face; shy, flushes from trail.",Montane forest floor,,Low
Bird,Red junglefowl,Ga rung,Gallus gallus,Wild ancestor of the chicken; crows at dawn near village edges.,Village edge & scrub,,Medium
Mammal,Domestic water buffalo,Con trau,Bubalus bubalis,You WILL share the trail with these in the valleys. Give them space.,Rice terraces & valleys,Course fixture,High
Mammal,Pallas's squirrel,Soc bung do,Callosciurus erythraeus,"Common diurnal tree squirrel, reddish belly; chattering in canopy.","Forest, all bands",,Medium
Mammal,Northern treeshrew,,Tupaia belangeri,"Squirrel-like but pointed snout; forages on the ground, quick and jittery.",Forest floor & edge,,Low
Mammal,Red-and-white giant flying squirrel,,Petaurista alborufus,Large; glides between trees. Look for eyeshine on the overnight leg.,Montane forest (night),,Low
Mammal,Particolored flying squirrel,,Hylopetes alboniger,"Smaller glider, dark above/pale below; strictly nocturnal.",Montane forest (night),Vietnam Red Book,Low
Mammal,Masked palm civet,Cay voi huong,Paguma larvata,"Long-bodied, facial stripe; nocturnal — best shot is headtorch eyeshine.",Forest (night),,Low
Mammal,Assam macaque,Khi,Macaca assamensis,Stocky brown monkey in troops; wary of people.,Forest & rocky slopes,,Low
Mammal,Fansipan shrew mole,,Uropsilus fansipanensis,Tiny burrowing insectivore found only here. Essentially never seen — bragging rights only.,High-elevation soil,ENDEMIC to Fansipan,Rare
